,Building,Flat,Area,Location,Connectivity,Price
744,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
745,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
746,Leisure Town,1 BHK1 Bath,460 sq.ft. (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
747,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
748,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
749,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
750,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
751,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
752,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
753,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
754,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
755,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
756,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
757,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
758,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
759,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
760,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
761,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
762,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
763,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
764,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
765,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
766,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
767,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
768,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
769,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
770,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
771,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
772,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
773,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
774,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
775,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
776,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
777,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
778,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
779,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
780,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
781,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
